Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"327073880672",Honeywell FSP1535 Tester UNTESTED,,,"1","FIXED_PRICE","USD",249.99,,,249.99,"0","","","Mar-28-26 19:28:15 PDT","Aug-28-26 19:28:15 PDT","HVAC & Refrigeration: Controls & Circuit Boards","53296","","","Used","","","","","","US","","",""
"327076366940",Vintage Knee Huggers Opaque Knee Highs Black One Size Original Egg Package NOS,,EU-2bd7fc25-48cd-4351-b84b-fa7605b6f56e,"1","FIXED_PRICE","USD",19.99,,,19.99,"0","","","Mar-30-26 08:35:12 PDT","Aug-30-26 08:35:12 PDT","Pantyhose & Stockings","182053","","","New with tags","","","","","","US","","",""
"327076376284",OshKosh B'Gosh Baby Toddler Denim Overalls Floral Trim Snap Leg 6M,,,"1","FIXED_PRICE","USD",17.67,,,17.67,"0","","","Mar-30-26 08:41:49 PDT","Aug-30-26 08:41:49 PDT","One-Pieces","260022","","","Pre-owned - Good","","","","","","US","","",""
"327079839421",173rd Airborne Brigade Sky Soldiers Billy Martin Vietnam War Book Hardcover,,EU-dbface3a-fae6-45dc-b99f-aaf61e09a6c4,"1","FIXED_PRICE","USD",194.99,,,194.99,"0","6","0","Apr-01-26 10:08:36 PDT","Sep-01-26 10:08:36 PDT","Challenge Coins","74710","","","New","","","","","","US","","",""
"327079840660",Purple Bubble Textured Plastic Tumbler Cup Green Translucent Lid Drinkware,,,"1","FIXED_PRICE","USD",35.71,,,35.71,"0","","","Apr-01-26 10:10:07 PDT","Sep-01-26 10:10:07 PDT","Other Glassware & Drinkware","261685","","","Used","","","","","","US","","",""
"327079856809",Vintage Hasbro Sweetie Pups White Plush Dog w/ Original Accessories Comb 1980s,,,"1","FIXED_PRICE","USD",24.99,,,24.99,"0","","","Apr-01-26 10:18:36 PDT","Sep-01-26 10:18:36 PDT","Dolls & Doll Playsets","262346","","","Used","","","","","","US","","",""
"327079861381",Sweet Beginnings I Love Mommy Baby Photo Frame Pacifier Rattle NEW Sealed,,,"1","FIXED_PRICE","USD",31.61,,,31.61,"0","3","0","Apr-01-26 10:22:10 PDT","Sep-01-26 10:22:10 PDT","Frames","73500","","","New","","","","","","US","","",""
"327079866038",Spanx Tight-End Tights Floral Lace Black Size B Hosiery,,,"1","FIXED_PRICE","USD",29.99,,,29.99,"0","1","0","Apr-01-26 10:24:49 PDT","Sep-01-26 10:24:49 PDT","Pantyhose & Tights","11525","","","Pre-owned","","","","","","US","","",""
"327079869248",Nice Touch Promise Silky Sheer Control Top Pantyhose Full Figure X Mahogany Navy,,,"1","FIXED_PRICE","USD",19.72,,,19.72,"0","1","0","Apr-01-26 10:27:28 PDT","Sep-01-26 10:27:28 PDT","Pantyhose & Tights","11525","","","New with tags","","","","","","US","","",""
"327081847145",Vintage HAART DE MEXICO Ceramic Angel Wall Plaque Hand Painted #35,,,"1","FIXED_PRICE","USD",19.99,,,19.99,"0","","","Apr-02-26 11:07:53 PDT","Sep-02-26 11:07:53 PDT","Sculptures & Figurines","261628","","","Used","","","","","","US","","",""
